Orthogroup,Species,Gene,Scaffold,Start,End
OG0012010,P. arcanus,PARCANUS000028316,2,964708,965584
OG0009194,P. arcanus,PARCANUS000015278,2,965874,971531
OG0013395,P. arcanus,PARCANUS000011286,2,977808,982461
OG0009026,P. arcanus,PARCANUS000014581,2,983004,990574
OG0015256,P. arcanus,PARCANUS000024025,2,989056,990314
OG0003296,P. arcanus,PARCANUS000010691,2,990701,993755
OG0000898,P. arcanus,PARCANUS000014928,2,993990,995889
OG0006671,P. arcanus,PARCANUS000010131,2,996336,1011221
OG0009396,P. arcanus,PARCANUS000010182,2,1011955,1013787
OG0000836,P. arcanus,PARCANUS000011758,2,1014862,1020341
OG0000917,P. arcanus,PARCANUS000026602,2,1022199,1022861
OG0017177,P. arcanus,PARCANUS000005960,2,1023210,1025711
OG0001129,P. arcanus,PARCANUS000004893,2,1026391,1031058
OG0014738,P. arcanus,PARCANUS000010310,2,1033168,1036277
OG0008616,P. arcanus,PARCANUS000020279,2,1037185,1039142
OG0005120,P. arcanus,PARCANUS000004576,2,1041150,1042178
OG0007085,P. arcanus,PARCANUS000023600,2,1045172,1053637
OG0007085,P. entomophagus,PRENTOPHAG000017562,36,1084438,1094004
OG0037009,P. entomophagus,PRENTOPHAG000026415,36,1099756,1100603
OG0005120,P. entomophagus,PRENTOPHAG000003264,36,1109591,1111627
OG0008616,P. entomophagus,PRENTOPHAG000006674,36,1113260,1115431
OG0014738,P. entomophagus,PRENTOPHAG000017672,36,1116353,1119087
OG0001129,P. entomophagus,PRENTOPHAG000001373,36,1120865,1126088
OG0017177,P. entomophagus,PRENTOPHAG000001463,36,1126915,1129243
OG0000917,P. entomophagus,PRENTOPHAG000019605,36,1134110,1134626
OG0000836,P. entomophagus,PRENTOPHAG000024399,36,1151481,1153193
OG0002451,P. entomophagus,PRENTOPHAG000004742_1,36,1154370,1160445
OG0009396,P. entomophagus,PRENTOPHAG000004280,36,1160921,1162771
OG0006671,P. entomophagus,PRENTOPHAG000004398,36,1163450,1181005
none,P. entomophagus,PRENTOPHAG000006913,36,1181178,1182412
none,P. entomophagus,PRENTOPHAG000019147,36,1183696,1184285
OG0000898,P. entomophagus,PRENTOPHAG000023872,36,1194694,1196685
OG0003296,P. entomophagus,PRENTOPHAG000017726,36,1197011,1199542
OG0009026,P. entomophagus,PRENTOPHAG000009379,36,1200572,1215881
OG0015256,P. entomophagus,PRENTOPHAG000004047,36,1201104,1206390
OG0013395,P. entomophagus,PRENTOPHAG000015523,36,1219243,1224134
OG0009194,P. entomophagus,PRENTOPHAG000012244,36,1232759,1234952
OG0009194,P. entomophagus,PRENTOPHAG000002571,36,1232762,1238038
OG0012010,P. entomophagus,PRENTOPHAG000020239,36,1238283,1238848
OG0007085,P. exspectatus,PREXSPEC000006951,2,11010061,11017702
OG0005120,P. exspectatus,PREXSPEC000004715,2,11019921,11020928
OG0008616,P. exspectatus,PREXSPEC000004635,2,11022878,11025543
OG0014738,P. exspectatus,PREXSPEC000015574,2,11026507,11029387
OG0001129,P. exspectatus,PREXSPEC000005895,2,11031359,11035977
OG0017177,P. exspectatus,PREXSPEC000007429,2,11036629,11039021
OG0000917,P. exspectatus,PREXSPEC000024364,2,11039360,11039902
OG0000836,P. exspectatus,PREXSPEC000021657,2,11040941,11042204
OG0000836,P. exspectatus,PREXSPEC000002435,2,11044179,11045603
OG0009396,P. exspectatus,PREXSPEC000010778,2,11048379,11050205
OG0006671,P. exspectatus,PREXSPEC000012565,2,11050920,11065953
OG0000898,P. exspectatus,PREXSPEC000004917,2,11066385,11068491
OG0003296,P. exspectatus,PREXSPEC000015845,2,11068721,11071809
OG0009026,P. exspectatus,PREXSPEC000009312,2,11071937,11079543
OG0015256,P. exspectatus,PREXSPEC000014261,2,11072194,11073334
OG0013395,P. exspectatus,PREXSPEC000006430,2,11080153,11084883
OG0009194,P. exspectatus,PREXSPEC000005327,2,11091295,11096932
OG0012010,P. exspectatus,PREXSPEC000018221,2,11097220,11097761
OG0007085,P. fissidentatus,PRIFISSI000009055,138,316284,316397
OG0005120,P. fissidentatus,PRIFISSI000004208,138,335323,336535
OG0008616,P. fissidentatus,PRIFISSI000009541,138,338767,342289
OG0014738,P. fissidentatus,PRIFISSI000017295,138,343863,348361
OG0001129,P. fissidentatus,PRIFISSI000005266,138,353537,358890
none,P. fissidentatus,PRIFISSI000009031,138,359475,361616
OG0000917,P. fissidentatus,PRIFISSI000016615,138,363466,364240
OG0003844,P. fissidentatus,PRIFISSI000006014,138,365899,368435
OG0000836,P. fissidentatus,PRIFISSI000011298,138,372983,383410
OG0017527,P. fissidentatus,PRIFISSI000019363,138,378727,379269
OG0000836,P. fissidentatus,PRIFISSI000003784,138,381441,383317
OG0002451,P. fissidentatus,PRIFISSI000006649_1,138,385464,394140
OG0009396,P. fissidentatus,PRIFISSI000015519,138,395200,396585
OG0006671,P. fissidentatus,PRIFISSI000002896,138,399084,424052
OG0038179,P. fissidentatus,PRIFISSI000022203,138,424601,425001
OG0000898,P. fissidentatus,PRIFISSI000021598,138,424817,427555
OG0003296,P. fissidentatus,PRIFISSI000016549,138,427977,428446
none,P. fissidentatus,PRIFISSI000004675,138,428207,429673
OG0030156,P. fissidentatus,PRIFISSI000002630,138,436140,450964
OG0000898,P. fissidentatus,PRIFISSI000006660,138,455593,457236
OG0012010,P. japonicus,PRIJAPON000017150,154,647049,647651
OG0009194,P. japonicus,PRIJAPON000005906,154,647923,654169
OG0013395,P. japonicus,PRIJAPON000014642,154,660726,665358
OG0009026,P. japonicus,PRIJAPON000015580,154,665927,674116
OG0015256,P. japonicus,PRIJAPON000008671,154,672353,673602
OG0005648,P. japonicus,PRIJAPON000012276,154,675189,676586
none,P. japonicus,PRIJAPON000033172,154,677189,677821
OG0006671,P. japonicus,PRIJAPON000006112,154,681214,697069
OG0009396,P. japonicus,PRIJAPON000001228,154,698065,701612
OG0002451,P. japonicus,japonicus-mkr-S154-6.37-mRNA-1,154,707534,702276
OG0000836,P. japonicus,PRIJAPON000012282,154,709092,714528
OG0017527,P. japonicus,PRIJAPON000024195,154,710192,710522
OG0000836,P. japonicus,PRIJAPON000012741,154,710793,712035
OG0000836,P. japonicus,PRIJAPON000024795,154,714140,714712
OG0000917,P. japonicus,PRIJAPON000024535,154,718519,719104
OG0012010,P. maxplancki,PRIMPAX000033388,19,393568,394118
none,P. maxplancki,PRIMPAX000018162,19,393780,394333
OG0009194,P. maxplancki,PRIMPAX000004863,19,394401,402680
OG0013395,P. maxplancki,PRIMPAX000018267,19,408966,413262
none,P. maxplancki,PRIMPAX000036765,19,412555,412935
OG0009026,P. maxplancki,PRIMPAX000009851,19,413769,419846
OG0015256,P. maxplancki,PRIMPAX000018863,19,422912,424839
OG0003296,P. maxplancki,PRIMPAX000021765,19,426314,428330
OG0000898,P. maxplancki,PRIMPAX000011361,19,428601,430702
OG0006671,P. maxplancki,PRIMPAX000004876,19,432084,449669
OG0009396,P. maxplancki,PRIMPAX000017998,19,450382,452155
OG0002451,P. maxplancki,maxplancki-mkr-S19-4.64-mRNA-1,19,458496,452791
OG0000836,P. maxplancki,PRIMPAX000007922,19,459298,465574
OG0000917,P. maxplancki,PRIMPAX000012227,19,466984,467525
OG0017177,P. maxplancki,PRIMPAX000013838,19,467979,470347
OG0001129,P. maxplancki,PRIMPAX000002523,19,470932,473777
OG0014738,P. maxplancki,PRIMPAX000023623,19,477067,479976
OG0008616,P. maxplancki,PRIMPAX000014030,19,480887,482827
OG0005120,P. maxplancki,PRIMPAX000005244,19,484790,485842
OG0007085,P. maxplancki,PRIMPAX000013417,19,488029,495491
OG0000898,P. mayeri,PRIMAYER000011656,300,1685,2491
OG0006671,P. mayeri,PRIMAYER000006403,300,2941,19442
OG0009396,P. mayeri,PRIMAYER000013982,300,20335,21789
OG0002451,P. mayeri,PRIMAYER000001543,300,22404,28595
OG0022768,P. mayeri,PRIMAYER000032502,300,32007,32458
OG0000917,P. mayeri,PRIMAYER000016433,300,33650,34559
OG0022427,P. mayeri,PRIMAYER000002958,300,35108,35789
none,P. mayeri,PRIMAYER000025824,300,36956,37513
OG0017177,P. mayeri,PRIMAYER000006510,300,35826,36581
OG0001129,P. mayeri,PRIMAYER000009569,300,38026,42678
OG0014738,P. mayeri,PRIMAYER000017943,300,45022,48169
OG0008616,P. mayeri,PRIMAYER000004739,300,49065,54395
OG0005120,P. mayeri,PRIMAYER000008551,300,57106,57250
OG0007085,P. mayeri,PRIMAYER000009239,300,60699,68663
OG0007085,P. pacificus,PPA28344,2,9540858,9548654
OG0005120,P. pacificus,PPA28346,2,9550730,9551959
OG0008616,P. pacificus,PPA28347,2,9553701,9555801
OG0014738,P. pacificus,PPA28348,2,9556795,9559902
OG0011471,P. pacificus,ppa_stranded_DN48458_c0_g1_i1,2,9561756,9563437
OG0001129,P. pacificus,ppa_stranded_DN31271_c1_g1_i2,2,9563398,9571699
OG0017177,P. pacificus,Iso_D.4959.1,2,9569221,9571700
OG0000917,P. pacificus,ppa_stranded_DN17210_c0_g1_i1,2,9571842,9572487
OG0017527,P. pacificus,ppa_stranded_DN7635_c0_g1_i1,2,9575651,9575986
OG0000836,P. pacificus,ppa_stranded_DN44827_c0_g1_i1,2,9576688,9576967
OG0009396,P. pacificus,Contig24-snapTAU.335,2,9578965,9580598
OG0006671,P. pacificus,ppa_stranded_DN31025_c2_g5_i1,2,9581219,9596482
OG0012010,P. pacificus,PPA03594,2,9605116,9605642
OG0009194,P. pacificus,PPA03591,2,9605914,9611591
OG0013395,P. pacificus,PPA35556,2,9618965,9623618
OG0009026,P. pacificus,PPA03589,2,9624180,9632508
OG0015256,P. pacificus,ppa_stranded_DN18829_c0_g1_i1,2,9630348,9631709
OG0003296,P. pacificus,PPA03586,2,9631610,9635537
OG0000898,P. pacificus,PPA35563,2,9635776,9637897
